Name,Type
WaitForEvent,Bool
WaitForEvent,Bool
WaitForEvent,Bool
WaitForEvent,Bool
WaitForEvent,Bool
WaitForEvent,Bool
ControllerAdvancedOptions,Int
CompareStats,Int
Mountain,Int
InvertCameraLookBack,Bool
MouseControlOptions,Int
BristolOptions,Int
ThrottleDeadzoneOutside,Float
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertHornPhotoMode,Bool
Main,Int
DangerSignsTriggered,Int
Enabled,Bool
Layout,Int
YawSensitivity,Float
SteeringLinearity,Float
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
DPad,Int
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
HandbrakeDeadzoneInside,Float
ForceFeedbackUndersteerFactor,Float
IronManEventsWon,Int
ForceFeedbackUndersteerFactor,Float
RumbleScale,Float
SteeringLinearity,Float
ForceFeedbackScale,Float
ForceFeedbackLinearityFactor,Float
ThrottleDeadzoneOutside,Float
HandbrakeDeadzoneInside,Float
SteeringAxisDeadzoneOutside,Float
ClutchDeadzoneInside,Float
HandbrakeDeadzoneOutside,Float
SteeringAxisDeadzoneInside,Float
ClutchDeadzoneOutside,Float
BrakeDeadzoneOutside,Float
BrakeDeadzoneInside,Float
ThrottleDeadzoneInside,Float
SteeringLinearity,Float
ForceFeedbackUndersteerFactor,Float
RumbleScale,Float
SteeringLinearity,Float
ForceFeedbackScale,Float
ForceFeedbackLinearityFactor,Float
ThrottleDeadzoneOutside,Float
HandbrakeDeadzoneInside,Float
SteeringAxisDeadzoneOutside,Float
ClutchDeadzoneInside,Float
HandbrakeDeadzoneOutside,Float
SteeringAxisDeadzoneInside,Float
ClutchDeadzoneOutside,Float
BrakeDeadzoneOutside,Float
BrakeDeadzoneInside,Float
ThrottleDeadzoneInside,Float
DriftZonesTriggered,Int
OnlineWinnings,Int
IronManEventsEntered,Int
BeautySpotsDiscovered,Int
TimeDriven,Int
SpeedTrapsTriggered,Int
SpeedZonesTriggered,Int
RoadsDiscovered,Int
BucketlistEventsCompleted,Int
CarChampionshipEventPodiums,Int
CarChampionshipsWon,Int
SpeedTrapsTriggered,Int
CarChampionshipsCompleted,Int
OnlineCoopBucketlistEventsComple,Int
RacesEntered,Int
TimeDriven,Int
SpeedZonesTriggered,Int
BonusBoardsSmashed,Int
TimeSpentInOnlineAdventure,Int
DangerSignsTriggered,Int
BarnFindDiscovered,Int
Stars,Int
TimeSpentInCoopCampaign,Int
RacePodiums,Int
BucketlistEventsCompleted,Int
LocationsDiscovered,Int
TimeSpentInOnlineFreeroam,Int
OnlineRacesEntered,Int
ChampionshipsCompleted,Int
KingOfTheMountainEventsCompleted,Int
RacesWon,Int
NamesOverCars,Bool
ShowLeaderboardTimesForAllPlatfo,Bool
Units,Int
Ghosts,Bool
CrossPlay,Int
MinorNotifications,Bool
DriftHeadMotion,Bool
MetersAhead,Bool
Timers,Bool
QuickChat,Bool
HorizonPromoCarLabel,Bool
AheadBehindLabels,Bool
TelemetryDataOutPort,Int
Speedometer,Int
HUDSafeFrameHorizontal,Float
ActivityInviteNotifications,Bool
TelemetryDataOut,Bool
HUDSafeFrameVertical,Float
DamageTireWear,Int
VoiceChatMode,Bool
HideInactiveMouseOnHUD,Bool
EnablePlayerLiveries,Bool
OnlineFreeroamRewindMode,Bool
EnableDrivatarLiveries,Bool
LensEffects,Bool
Telemetry,Bool
RaceFeats,Int
TelemetryDataOutAddress,Int
Anna,Bool
DriftHud,Bool
Mirror,Bool
CameraEffects,Bool
RaceEncountersAcceptChallenge,Bool
DriftHeadMotionStrength,Iny
Map,Bool
DriftHeadMotionLookSpeed,Int
WrongWay,Bool
DriftHeadMotionRange,Int
CameraAngle,Int
RivalsBeaten,Int
BarnFinds,Int
RaceEncountersEntered,Int
HorizonFinalProgress,Float
CarChampionshipEventsWon,Int
ShowcasesWon,Int
RaceEncountersWon,Int
ProgressToFinalShowcase,Float
DangerSignsTriggered,Int
OnlineTimesInfected,Int
OnlineRacesWon,Int
CarsInGarage,Int
NumCleanOvertakes,Int
CarMeetsDiscovered,Int
CampaignSlotExhibitionsCompleted,Int
DestinationsVisited,Int
WristbandLevel,Int
DiscountBoardsSmashed,Int
RoadsDiscovered,Int
RoadTripEventsCompleted,Int
NumberOfFlagsStolenFromYou,Int
RoadTripPartiesAttended,Int
OnlineXP,Int
SpeedTrapsTriggered,Int
NumberOfFlagsDeniedByYou,Int
CreditsEarnedFromRivals,Int
MediumValueBoardsSmashed,Int
GarageValue,Int
OnlineInfectedGamesWon,Int
XPEarnedInRoadTrips,Int
FlagRushGamesWon,Int
FastTravelBoardsSmashed,Int
CampaignSlotChampionshipsComplet,Int
OnlineTimesYouInfectedOthers,Int
SmallValueBoardsSmashed,Int
SpeedZonesTriggered,Int
HighestNumCollisionsInRace,Int
HighValueBoardsSmashed,Int
OnlineHighestXPWonInAnEvent,Int
CarChampionshipsWon,Int
PerksUnlocked,Int
OnlineNumCleanOvertakes,Int
BucketlistEventsCompleted,Int
OnlineTimeSpentAsKing,Int
PhotoChallengesCompleted,Int
CleanLaps,Int
NumberOfFlagsCaptured,Int
OnlineLongestRoadTrip,Int
HeadTracking,Bool
MouseLookUpDownInvert,Bool
Island,Bool
BarnFindDiscovered,Int
SpeedZonesTriggered,Int
BonusBoardsSmashed,Int
SpeedTrapsTriggered,Int
ChampionshipsCompleted,Int
Stars,Int
RoadsDiscovered,Int
ExhibitionEventsCompleted,Int
BucketlistEventsCompleted,Int
LocationsDiscovered,Int
RoadsDiscovered,Int
OnlineRacesWon,Int
ControllerOptions,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
MouseLookWheelZoomSensitivity,Float
RumbleScale,Float
WheelAdvancedOptions,Int
HandbrakeDeadzoneOutside,Float
SteeringAxisDeadzoneOutside,Float
ClutchDeadzoneInside,Float
BrakeDeadzoneInside,Float
SteeringAxisDeadzoneInside,Float
BrakeDeadzoneOutside,Float
ThrottleDeadzoneInside,Float
SnowmenSmashed,Int
FinalProgress,Float
CarChampionshipEventsWon,Int
OpusIsland,Int
MiscStats,Int
Options,Int
OnlineRoadTripDestsCompleted,Int
OnlineTimeSpentNotAsKing,Int
DriftZonesTriggered,Int
WheelOptions,Int
MouseLookLeftRightSensitivity,Float
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
BristolAdvancedOptions,Int
ForceFeedbackScale,Float
ForceFeedbackLinearityFactor,Float
UseGamepadSteeringFilters,Float
SteeringSensitivity,Float
InvertFFB,Float
SpringScale,Float
DampingScale,Float
TotalWinnings,Int
BeautySpotsDiscovered,Int
CarChampionshipEventsRaced,Int
RawGameControllerOptions,Int
MouseLookUpDownSensitivity,Float
ClutchDeadzoneOutside,Float
RumbleScale,Float
RawGameControllerAdvancedOptions,Int
DriftZonesTriggered,Int
ShowcasesEntered,Int
TimeInFirstPlace,Int
OnlineWinnings,Int
