Name,Type
MouseControlOptions,Int
BristolOptions,Int
PhotoChallengesCompleted,Int
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
Main,Int
Layout,Int
FastTravelBoardsSmashed,Int
NumberOfFlagsCaptured,Int
ForceFeedbackMaxLateralForceFact,Float
PerksUnlocked,Int
OnlineTimeSpentAsKing,Int
CarMeetsDiscovered,Int
HandbrakeDeadzoneInside,Float
ClutchDeadzoneInside,Float
HighestXPWinInAnEvent,Int
XPEarnedInRoadTrips,Int
CarChampionshipsWon,Int
SpeedZonesTriggered,Int
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
DPad,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
SmallValueBoardsSmashed,Bool
HighValueBoardsSmashed,Bool
BucketlistEventsCompleted,Bool
TimeInFirstPlace,Bool
OnlineLongestRoadTrip,Bool
OnlineNumCleanOvertakes,Bool
OnlineHighestXPWonInAnEvent,Bool
WheelRotationAngle,Float
CleanLaps,Int
OnlineWinnings,Int
ShowcasesEntered,Int
OnlineKingGamesWon,Int
WheelDamperScale,Float
RumbleScale,Float
SteeringLinearity,Float
RumbleScale,Float
ThrottleDeadzoneOutside,Float
WheelDamperScale,Float
SteeringAxisDeadzoneOutside,Float
WheelRotationAngle,Float
ClutchDeadzoneOutside,Float
SteeringLinearity,Float
HandbrakeDeadzoneOutside,Float
ThrottleDeadzoneOutside,Float
RumbleScale,Float
WheelRotationAngle,Float
SteeringLinearity,Float
WheelDamperScale,Float
ForceFeedbackUndersteerFactor,Float
ForceFeedbackScale,Float
HandbrakeDeadzoneInside,Float
ForceFeedbackLinearityFactor,Float
SteeringAxisDeadzoneOutside,Float
ForceFeedbackOffroadFeelFactor,Float
ForceFeedbackMaxLateralForceFact,Float
SteeringSensitivity,Float
ClutchDeadzoneInside,Float
HandbrakeDeadzoneOutside,Float
ClutchDeadzoneOutside,Float
SteeringAxisDeadzoneInside,Float
ForceFeedbackInvert,Bool
BrakeDeadzoneInside,Float
ForceFeedbackRoadFeelFactor,Float
BrakeDeadzoneOutside,Float
CenterSpringScale,Float
ThrottleDeadzoneInside,Float
ForceFeedbackInvert,Bool
ThrottleDeadzoneOutside,Float
RumbleScale,Float
WheelRotationAngle,Float
SteeringLinearity,Float
WheelDamperScale,Float
ForceFeedbackUndersteerFactor,Float
ForceFeedbackScale,Float
HandbrakeDeadzoneInside,Float
ForceFeedbackLinearityFactor,Float
SteeringAxisDeadzoneOutside,Float
ForceFeedbackOffroadFeelFactor,Float
ForceFeedbackMaxLateralForceFact,Float
SteeringSensitivity,Float
ClutchDeadzoneInside,Float
HandbrakeDeadzoneOutside,Float
ClutchDeadzoneOutside,Float
SteeringAxisDeadzoneInside,Float
ForceFeedbackInvert,Bool
BrakeDeadzoneInside,Float
ForceFeedbackRoadFeelFactor,Float
BrakeDeadzoneOutside,Float
CenterSpringScale,Float
ThrottleDeadzoneInside,Float
TotalCollisions,Int
MostFansFromAChampionship,Int
OnlineFriendsBeaten,Int
XPLostToCollisions,Int
PhotosTaken,Int
SpeedZonesCompleted,Int
TuningSetupsShared,Int
FavouriteRoadTripCar,Int
StreetRacesEntered,Int
FavouriteCar,Int
StreetRacesWon,Int
TotalLineUpXPEarned,Int
XPSinglePlayerRaces,Int
OnlineXPWonFromCleanStreak,Int
TimeInShowcases,Int
GaragePartsValue,Int
OnlineStreetRacesWon,Int
OnlineKingGamesEntered,Int
OnlineTeamRacesEntered,Int
LiveriesShared,Int
BiggestAir,Float
OnlineXPWonFromCleanStarts,Int
OnlineTimeSpentInFreeroam,Int
MostFansFromAShowcase,Int
MostValuableCar,Int
OnlineInfectedGamesEntered,Int
BeautySpotsDiscovered,Int
OnlineRoadTripDistanceDriven,Float
TimeInCarChampionshipEvents,Int
LapsCompletedInRivals,Int
OnlineTimeSpentInCareerCoop,Int
MostSuccessfulCar,Int
TotalLineUpFansEarned,Int
FlagRushGamesEntered,Int
OnlinePodiumFinishes,Int
OnlineRoadTripLastWinDay,Int
OnlineCumulativeFinishPos,Int
MostSuccessfulCarWins,Int
DangerSignsCompleted,Int
DriftZonesCompleted,Int
OnlineStreetRacesEntered,Int
CarChampionshipEventPodiums,Int
TotalCoOpCreditsEarned,Int
OnlineRacesEntered,Int
FavouriteRadioStation,Int
CarChampionshipEventsRaced,Int
OnlineEventsFinished,Int
OnlineCoopBucketlistEventsComple,Int
CarManufacturersOwned,Int
TotalFansEarned,Int
TimeInRaceEncounters,Int
TimesSpokenToAnna,Int
TotalLineUpCreditsEarned,Int
LocationsDiscovered,Int
SpeedTrapsCompleted,Int
TotalCoOpFansEarned,Int
CarChampionshipsCompleted,Int
OnlineTeamRacesWon,Int
ShowcasesWonTotal,Int
RoadTripDistanceDriven,Float
TimeInRoadTrips,Int
TimeInStreetRaces,Int
OnlineRacesQuit,Int
DrivatarLineupCount,Int
TotalCoOpXpEarned,Int
TrailBlazersCompleted,Int
NumRacesSinglePlayer,Int
HeadTracking,Bool
CampaignSlotChampionshipsComplet,Int
ControllerOptions,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
FlagRushGamesWon,Int
Layout,Int
RumbleSetting,Int
WheelAdvancedOptions,Int
SteeringSensitivity,Float
BrakeDeadzoneInside,Float
SteeringAxisDeadzoneInside,Float
BrakeDeadzoneOutside,Float
CenterSpringScale,Float
ThrottleDeadzoneInside,Float
ForceFeedbackUndersteerFactor,Float
ForceFeedbackScale,Float
ForceFeedbackOffroadFeelFactor,Float
ForceFeedbackLinearityFactor,Float
UseGamepadSteeringFilters,Float
ForceFeedbackInvert,Bool
SteeringSensitivity,Float
ForceFeedbackRoadFeelFactor,Float
CenterSpringScale,Float
UpgradesBoardsSmashed,Int
OnlineNumCollisionsInRaces,Int
MiscStats,Int
Options,Int
WheelOptions,Int
BristolAdvancedOptions,Int
RawGameControllerOptions,Int
RawGameControllerAdvancedOptions,Int
ControllerAdvancedOptions,Int
CompareStats,Int
MouseLookWheelZoomSensitivity,Float
MouseLookUpDownSensitivity,Float
MouseLookLeftRightSensitivity,Float
HorizonPromoCarLabel,Int
MovingBackgrounds,Int
Units,Int
MouseLookUpDownInvert,Int
MinorNotifications,Int
Ghosts,Int
MetersAhead,Int
Convertible,Int
ConvoyInviteNotifications,Int
DriftHeadMotion,Int
AheadBehindLabels,Int
ShowLeaderboardTimesForAllPlatfo,Int
Timers,Int
Speedometer,Int
DamageTireWear,Int
QuickChat,Int
TelemetryDataOutPort,Int
ActivityInviteNotifications,Int
HUDSafeFrameHorizontal,Int
NamesOverCars,Int
SpringUnits,Int
VoiceChatMode,Int
HideInactiveMouseOnHUD,Bool
NotificationDurationsMultiplier,Int
AccoladeNotifications,Int
HUDSafeFrameVertical,Int
TelemetryDataOut,Int
UITextScalingEnabled,Int
EnableDrivatarLiveries,Int
ForzathonNotifications,Int
EnablePlayerLiveries,Int
Telemetry,Int
RaceFeats,Int
Anna,Int
LensEffects,Int
TelemetryDataOutAddress,Int
CameraEffects,Int
Mirror,Int
UITextScalingFactor,Int
DriftHud,Int
RaceEncountersAcceptChallenge,Int
PowerUnits,Int
WrongWay,Int
